Time,Open,High,Low,Close,AdjClose
782697600,9377,9377,9291.099609,9338.599609,9338.599609
782956800,9298.799805,9364.299805,9209.700195,9364.299805,9364.299805
783043200,9335.299805,9335.299805,9243.599609,9246.5,9246.5
783129600,9234.099609,9273.900391,9208.299805,9252.400391,9252.400391
783216000,9256.200195,9341.400391,9256.200195,9304.599609,9304.599609
783302400,9326.099609,9383.099609,9277,9379.5,9379.5
783561600,9446,9651,9446,9646.299805,9646.299805
783648000,9651.299805,9675.5,9566.5,9573.400391,9573.400391
783734400,9500.900391,9514,9429.700195,9451.799805,9451.799805
783820800,9441.5,9551.400391,9441.5,9492,9492
783907200,9533.400391,9600.099609,9495.400391,9530.400391,9530.400391
784166400,9514,9514,9414.299805,9434.299805,9434.299805
784252800,9441.5,9449.299805,9402.200195,9416.099609,9416.099609
784339200,9399.599609,9435.400391,9356.900391,9405.5,9405.5
784425600,9412.099609,9412.200195,9372.900391,9390.799805,9390.799805
784512000,9391.200195,9391.200195,9332.299805,9367.900391,9367.900391
784771200,9363.400391,9397.400391,9334.900391,9378.900391,9378.900391
784857600,9385.299805,9570.599609,9385.299805,9565.700195,9565.700195
784944000,9587.299805,9592.200195,9504.099609,9592.200195,9592.200195
785030400,9595.400391,9620.299805,9511.200195,9518.299805,9518.299805
785116800,9507.799805,9507.799805,9373.700195,9427.400391,9427.400391
785376000,9406.5,9406.5,9274.099609,9303.200195,9303.200195
785462400,9235.599609,9235.599609,8930.099609,8948.400391,8948.400391
785548800,8757.900391,8757.900391,8379.900391,8576,8576
785635200,8636,8758.5,8634.5,8647.900391,8647.900391
785721600,8648.400391,8687,8610.5,8658.799805,8658.799805
785980800,8676.099609,8751.200195,8625.700195,8662.400391,8662.400391
786067200,8669.299805,8701.400391,8633.5,8658.299805,8658.299805
786153600,8636.900391,8636.900391,8428.599609,8466.299805,8466.299805
786240000,8465.200195,8555.299805,8409.400391,8430.799805,8430.799805
786326400,8361.099609,8361.099609,8135.600098,8221.599609,8221.599609
786585600,8289.5,8375.099609,8289.5,8302.5,8302.5
786672000,8296.099609,8366.5,8170.200195,8332.700195,8332.700195
786758400,8298.900391,8347.900391,8231.099609,8268.5,8268.5
786844800,8240.099609,8240.099609,8062.600098,8068.299805,8068.299805
786931200,7944.799805,7944.799805,7723.399902,7789.100098,7789.100098
787190400,7797.600098,7894.200195,7670.799805,7707.799805,7707.799805
787276800,7742.299805,7863,7742.299805,7849.799805,7849.799805
